回収先ID,支払先コード,支払先名,仕入先コード,仕入先名,ﾌﾘｶﾞﾅ,回収先１,回収先２,回収先３,住所･その他１,住所･その他２,住所･その他３,品目１,品目２,品目３,ｽﾎﾟｯﾄ,月,火,水,木,金,土,日,祝日,その他,無効,備考,更新日
70,1352000,㈱ナカダイ,1352016,東京冷機相模(ナカダイ),ﾄｳﾚｲ　ｻｶﾞﾐﾊﾗ,東冷･相模営業所,,↓,相模原市中央区淵野辺本町2-17-27,,,,段ﾎﾞｰﾙ,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
71,903000,ｼﾞｬｸｿﾝ･ﾗﾎﾞﾗﾄﾘｰ･ｼﾞｬﾊﾟﾝ㈱,903000,ｼﾞｬｸｿﾝ･ﾗﾎﾞﾗﾄﾘｰ･ｼﾞｬﾊﾟﾝ㈱,ｼﾞｬｸｿﾝ･ﾗﾎﾞﾗﾄﾘｰ･ｼﾞｬﾊﾟﾝ,ｼﾞｬｸｿﾝ･ﾗﾎﾞﾗﾄﾘｰ･ｼﾞｬﾊﾟﾝ,ｽﾎﾟｯﾄ,↓,厚木市下古沢794,,,段ﾎﾞｰﾙ,,ﾐｯｸｽ紙,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
72,1420000,ニッポンロジ㈱,1420000,ニッポンロジ㈱,ﾆﾎﾝﾛｼﾞ,ﾆｯﾎﾟﾝﾛｼﾞ,(土),↓,伊勢原市下落合352-10,（12時以降指定),,,段ﾎﾞｰﾙ,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
73,1709000,(合)ポジティブ,1709064,富士ロジ横浜町田(ﾎﾟｼﾞﾃｨﾌﾞ),ﾌｼﾞﾛｼﾞﾖｺﾊﾏﾏﾁﾀﾞ,富士ﾛｼﾞ横浜町田,(月･水･金),↓,座間市東原5-1-32,30分前電話046-252-1771,,段ﾎﾞｰﾙ,雑がみ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
74,1709000,(合)ポジティブ,1709043,富士ロジ厚木金田(ﾎﾟｼﾞﾃｨﾌﾞ),ﾌｼﾞﾛｼﾞｶﾈﾀﾞ,富士ﾛｼﾞ金田,(月･火･水･木･金),↓,30分前電話046-297-1705,厚木市金田1095ﾗﾝﾄﾞﾎﾟｰﾄ北1F,,段ﾎﾞｰﾙ,雑がみ,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
75,1709000,(合)ポジティブ,1709054,富士ロジ長沼/神奈川(ﾎﾟｼﾞﾃｨﾌﾞ),ﾌｼﾞﾛｼﾞﾅｶﾞﾇﾏ,富士ﾛｼﾞ長沼,(月･水･金),↓,厚木市長沼242,,,段ﾎﾞｰﾙ,雑がみ,雑がみ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
76,1709000,(合)ポジティブ,1709054,富士ロジ長沼/神奈川(ﾎﾟｼﾞﾃｨﾌﾞ),ﾌｼﾞﾛｼﾞﾅｶﾞﾇﾏｼﾞﾑｼｮ,富士ﾛｼﾞ長沼(事務所),(火･金),↓,厚木市長沼242,※受領書持っていく,,段ﾎﾞｰﾙ,,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
77,1709000,(合)ポジティブ,1709053,富士ロジ東名厚木(ﾎﾟｼﾞﾃｨﾌﾞ),ﾌｼﾞﾛｼﾞﾄｳﾒｲｱﾂｷﾞ,富士ﾛｼﾞ東名厚木,(月･木),↓,厚木市長谷6-19,30分前電話046-270-2131,,段ﾎﾞｰﾙ,雑誌,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
78,1038000,ＪＳＲ－ＮＥＴ,1038015,富士通ﾈｯﾄﾜｰｸｿﾘｭｰｼｮﾝｽﾞ(JSE-NET),ﾌｼﾞﾂｳﾈｯﾄﾜｰｸｿﾘｭｰｼｮﾝ,富士通ﾈｯﾄﾜｰｸｿﾘｭｰｼｮﾝ,（水）,↓,横浜市西区高島1-1-2,総務:担当者やなぎだ様,16・28,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
79,,,,,ﾌｼﾞﾂｳﾐﾄﾞﾙｳｪｱ,富士通ﾐﾄﾞﾙｳｪｱ,(ｽﾎﾟｯﾄ),↓,横浜市港北区新横浜2-15-16,NMF新横浜/7F,045-475-9800 岡安様,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
80,33000,㈱アオイ,33001,冨士電線(アオイ),ﾌｼﾞﾃﾞﾝｾﾝ,冨士電線,(金),↓,伊勢原市鈴川10,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
81,1205000,㈱ＤＳＰ,1205075,本間ゴルフ藤沢店(ＤＳＰ),ﾎﾝﾏｺﾞﾙﾌ,本間ｺﾞﾙﾌ藤沢店,(月),↓,藤沢市湘南台7-37-8,,,,段ﾎﾞｰﾙ,ﾍﾟｯﾄ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
82,1205000,㈱ＤＳＰ,1205084,有隣堂(ＤＳＰ),ﾕｳﾘﾝﾄﾞｳ,有隣堂,(火･金),↓,厚木市中町2-6,,,段ﾎﾞｰﾙ,雑がみ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
83,1975000,㈱裕源,1975000,㈱裕源,ﾕｳｹﾞﾝ,裕源,,↓,相模原市中央区田名塩田1-14-18,,,,段ﾎﾞｰﾙ,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
84,,,,,ﾌﾗｲｽﾀｰﾌﾞﾂﾘｭｳ,ﾌﾗｲｽﾀｰ物流株式会社,(ｽﾎﾟｯﾄ),↓,厚木市長谷376-1,阿部様　046-247-3400,,,段ﾎﾞｰﾙ,ﾋﾞﾆｰﾙﾊﾞﾗ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
85,,,,,ｼﾞｰｽｶｲ,有限会社ジースカイ,(ｽﾎﾟｯﾄ),↓,平塚市西真土1-6-74,0463-20-8387西原様,,,段ﾎﾞｰﾙ,雑がみ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
86,,,,,ﾈｸｽﾄｴﾅｼﾞ⁻ｱﾝﾄﾞﾘｿｰｽ,ﾈｸｽﾄｴﾅｼﾞ⁻ｱﾝﾄﾞﾘｿｰｽ,㈱浜田,↓大和エネルギー㈱,厚木市森の里土地区画整理事業地内,B工区　6街区,山口様　080-8345-5562,,段ﾎﾞｰﾙ,雑がみ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
87,,,,,ｾｲﾐﾂﾋﾗﾂｶｺｳｼﾞｮｳ,ｾｲﾐﾂ平塚工場,(ｽﾎﾟｯﾄ),↓,平塚市四之宮7-3-1,担当者：総務課長高橋様,tel.0463-20-9311,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
88,1253000,東京ロジファクトリー㈱,1253000,東京ロジファクトリー㈱,ﾄｳｷｮｳﾛｼﾞﾌｧｸﾄﾘｰ,東京ﾛｼﾞﾌｧｸﾄﾘｰ,（水）,↓,厚木市上依知1043-1,担当者：ｾﾝﾀｰ所長中村様,℡046-204-0761,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
89,,,,,ｺﾊﾞﾔｼｳﾝｿｳ,㈲小林運送店,(ｽﾎﾟｯﾄ),↓,平塚市東八幡3-2-12,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
90,794000,サンインテルネット厚木第三ｾﾝﾀｰ,794000,サンインテルネット厚木第三ｾﾝﾀｰ,ｻﾝｲﾝﾃﾙﾈｯﾄｼﾞｪｲﾋﾟｰｱｰﾙ,ｻﾝｲﾝﾃﾙﾈｯﾄJPR,ｽﾎﾟｯﾄ,↓,厚木市酒井1740,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
91,,,,,ﾊﾏﾀｲﾔ,神奈川ﾊﾏﾀｲﾔ㈱,(ｽﾎﾟｯﾄ),↓,厚木市戸田259-3,046-228-8995,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
92,382000,㈱大本組,382001,ﾂｲﾝｼﾃｨ大神地区枝線(大本組),ｵｵﾓﾄｸﾞﾐ,㈱大本組,(ｽﾎﾟｯﾄ),↓到着前要℡,平塚市大神,ﾂｲﾝｼﾃｨ大神地区枝線(雨水)築造工事,福田様　080-1931-3547,,段ﾎﾞｰﾙ,ｼｭﾚｯﾀﾞｰ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
93,753000,㈲坂田亮作商店,753000,㈲坂田亮作商店,ｻｶﾀﾘｮｳｻｸｼｮｳﾃﾝ,坂田良作商店,(ｽﾎﾟｯﾄ),↓,綾瀬市小園841,,,ﾏﾙﾁP･ﾊﾞﾗ,,雑がみ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
94,,,,,ｺ‐ﾅﾝｵｵﾌﾅﾓｰﾙ,ｺ‐ﾅﾝ大船ﾓｰﾙ,(ｽﾎﾟｯﾄ),↓,鎌倉市大船1188-1,,,,機密書類,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
95,2095000,㈱上神谷運送厚木,2095000,㈱上神谷運送厚木,ﾆﾜﾀﾞﾆｳﾝｿｳｱﾂｷﾞ,上神谷運送厚木,(金),↓,厚木市上依知1086,046-245-4621,,ｽﾄﾚｯﾁ,,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
